--------------------------------------------------------------------------------"
"********Log file Created at:Date:2022_02_15 Time:01:14:26 PM*********"
"--------------------------------------------------------------------------------"
"{'pid': 1, 'username': 'root', 'name': 'systemd', 'vms': 163.8828125}"
"{'pid': 2, 'username': 'root', 'name': 'kthreadd', 'vms': 0.0}"
"{'pid': 3, 'username': 'root', 'name': 'rcu_gp', 'vms': 0.0}"
"{'pid': 4, 'username': 'root', 'name': 'rcu_par_gp', 'vms': 0.0}"
"{'pid': 8, 'username': 'root', 'name': 'mm_percpu_wq', 'vms': 0.0}"
"{'pid': 9, 'username': 'root', 'name': 'rcu_tasks_rude_', 'vms': 0.0}"
"{'pid': 10, 'username': 'root', 'name': 'rcu_tasks_trace', 'vms': 0.0}"
"{'pid': 11, 'username': 'root', 'name': 'ksoftirqd/0', 'vms': 0.0}"
"{'pid': 12, 'username': 'root', 'name': 'rcu_sched', 'vms': 0.0}"
"{'pid': 13, 'username': 'root', 'name': 'migration/0', 'vms': 0.0}"
"{'pid': 14, 'username': 'root', 'name': 'idle_inject/0', 'vms': 0.0}"
"{'pid': 16, 'username': 'root', 'name': 'cpuhp/0', 'vms': 0.0}"
"{'pid': 17, 'username': 'root', 'name': 'cpuhp/1', 'vms': 0.0}"
"{'pid': 18, 'username': 'root', 'name': 'idle_inject/1', 'vms': 0.0}"
"{'pid': 19, 'username': 'root', 'name': 'migration/1', 'vms': 0.0}"
"{'pid': 20, 'username': 'root', 'name': 'ksoftirqd/1', 'vms': 0.0}"
"{'pid': 23, 'username': 'root', 'name': 'cpuhp/2', 'vms': 0.0}"
"{'pid': 24, 'username': 'root', 'name': 'idle_inject/2', 'vms': 0.0}"
"{'pid': 25, 'username': 'root', 'name': 'migration/2', 'vms': 0.0}"
"{'pid': 26, 'username': 'root', 'name': 'ksoftirqd/2', 'vms': 0.0}"
"{'pid': 29, 'username': 'root', 'name': 'cpuhp/3', 'vms': 0.0}"
"{'pid': 30, 'username': 'root', 'name': 'idle_inject/3', 'vms': 0.0}"
"{'pid': 31, 'username': 'root', 'name': 'migration/3', 'vms': 0.0}"
"{'pid': 32, 'username': 'root', 'name': 'ksoftirqd/3', 'vms': 0.0}"
"{'pid': 35, 'username': 'root', 'name': 'kdevtmpfs', 'vms': 0.0}"
"{'pid': 36, 'username': 'root', 'name': 'netns', 'vms': 0.0}"
"{'pid': 37, 'username': 'root', 'name': 'inet_frag_wq', 'vms': 0.0}"
"{'pid': 38, 'username': 'root', 'name': 'kauditd', 'vms': 0.0}"
"{'pid': 39, 'username': 'root', 'name': 'khungtaskd', 'vms': 0.0}"
"{'pid': 40, 'username': 'root', 'name': 'oom_reaper', 'vms': 0.0}"
"{'pid': 41, 'username': 'root', 'name': 'writeback', 'vms': 0.0}"
"{'pid': 42, 'username': 'root', 'name': 'kcompactd0', 'vms': 0.0}"
"{'pid': 43, 'username': 'root', 'name': 'ksmd', 'vms': 0.0}"
"{'pid': 44, 'username': 'root', 'name': 'khugepaged', 'vms': 0.0}"
"{'pid': 91, 'username': 'root', 'name': 'kintegrityd', 'vms': 0.0}"
"{'pid': 92, 'username': 'root', 'name': 'kblockd', 'vms': 0.0}"
"{'pid': 93, 'username': 'root', 'name': 'blkcg_punt_bio', 'vms': 0.0}"
"{'pid': 96, 'username': 'root', 'name': 'tpm_dev_wq', 'vms': 0.0}"
"{'pid': 97, 'username': 'root', 'name': 'ata_sff', 'vms': 0.0}"
"{'pid': 98, 'username': 'root', 'name': 'md', 'vms': 0.0}"
"{'pid': 99, 'username': 'root', 'name': 'edac-poller', 'vms': 0.0}"
"{'pid': 100, 'username': 'root', 'name': 'devfreq_wq', 'vms': 0.0}"
"{'pid': 101, 'username': 'root', 'name': 'watchdogd', 'vms': 0.0}"
"{'pid': 105, 'username': 'root', 'name': 'kswapd0', 'vms': 0.0}"
"{'pid': 106, 'username': 'root', 'name': 'ecryptfs-kthrea', 'vms': 0.0}"
"{'pid': 108, 'username': 'root', 'name': 'kthrotld', 'vms': 0.0}"
"{'pid': 109, 'username': 'root', 'name': 'acpi_thermal_pm', 'vms': 0.0}"
"{'pid': 112, 'username': 'root', 'name': 'vfio-irqfd-clea', 'vms': 0.0}"
"{'pid': 113, 'username': 'root', 'name': 'mld', 'vms': 0.0}"
"{'pid': 115, 'username': 'root', 'name': 'ipv6_addrconf', 'vms': 0.0}"
"{'pid': 124, 'username': 'root', 'name': 'kstrp', 'vms': 0.0}"
"{'pid': 127, 'username': 'root', 'name': 'zswap-shrink', 'vms': 0.0}"
"{'pid': 133, 'username': 'root', 'name': 'charger_manager', 'vms': 0.0}"
